Compound,Compound name,Compound aliases,Chemical class,Core level,Binding energy (eV),Uncertainty (eV),Peak assignment,Reference,DOI,Calibration
KPF6,Potassium hexafluorophosphate,,alkali; phosphate,K 2p3/2,295.0,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KPF6,Potassium hexafluorophosphate,,alkali; phosphate,F 1s,688.2,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KPF6,Potassium hexafluorophosphate,,alkali; phosphate,P 2p3/2,138.1,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaPF6,Sodium hexafluorophosphate,,alkali; phosphate,Na 1s,1073.2,0.1,Na⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaPF6,Sodium hexafluorophosphate,,alkali; phosphate,F 1s,688.1,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaPF6,Sodium hexafluorophosphate,,alkali; phosphate,P 2p3/2,138.2,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiPF6,Lithium hexafluorophosphate,,alkali; phosphate,Li 1s,58.4,0.1,Li⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiPF6,Lithium hexafluorophosphate,,alkali; phosphate,F 1s,688.1,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiPF6,Lithium hexafluorophosphate,,alkali; phosphate,P 2p3/2,138.3,0.1,PF₆⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KBF4,Potassium tetrafluoroborate,,alkali; borate,K 2p3/2,294.4,0.3,K⁺,1; 51,10.1021/acsaem.1c02400; 10.1007/s10812-009-9116-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
KBF4,Potassium tetrafluoroborate,,alkali; borate,F 1s,687.9,0.2,BF₄⁻,1; 51,10.1021/acsaem.1c02400; 10.1007/s10812-009-9116-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
KBF4,Potassium tetrafluoroborate,,alkali; borate,B 1s,195.9,0.3,BF₄⁻,1; 51,10.1021/acsaem.1c02400; 10.1007/s10812-009-9116-z,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 284.8 eV
NaBF4,Sodium tetrafluoroborate,,alkali; borate,Na 1s,1073.2,0.1,Na⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaBF4,Sodium tetrafluoroborate,,alkali; borate,F 1s,688.0,0.1,BF₄⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaBF4,Sodium tetrafluoroborate,,alkali; borate,B 1s,196.2,0.1,BF₄⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiBF4,Lithium tetrafluoroborate,,alkali; borate,Li 1s,57.7,0.1,Li⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiBF4,Lithium tetrafluoroborate,,alkali; borate,F 1s,688.0,0.1,BF₄⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiBF4,Lithium tetrafluoroborate,,alkali; borate,B 1s,196.2,0.1,BF₄⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KFSI,Potassium bis(fluorosulfonyl)imide,,alkali; sulfonyl,K 2p3/2,293.7,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KFSI,Potassium bis(fluorosulfonyl)imide,,alkali; sulfonyl,O 1s,533.4,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KFSI,Potassium bis(fluorosulfonyl)imide,,alkali; sulfonyl,F 1s,688.1,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KFSI,Potassium bis(fluorosulfonyl)imide,,alkali; sulfonyl,N 1s,400.0,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KFSI,Potassium bis(fluorosulfonyl)imide,,alkali; sulfonyl,S 2p3/2,170.3,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaFSI,Sodium bis(fluorosulfonyl)imide,,alkali; sulfonyl,Na 1s,1072.3,0.1,Na⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaFSI,Sodium bis(fluorosulfonyl)imide,,alkali; sulfonyl,O 1s,533.3,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaFSI,Sodium bis(fluorosulfonyl)imide,,alkali; sulfonyl,F 1s,688.2,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaFSI,Sodium bis(fluorosulfonyl)imide,,alkali; sulfonyl,N 1s,400.1,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaFSI,Sodium bis(fluorosulfonyl)imide,,alkali; sulfonyl,S 2p3/2,170.4,0.1,FSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiFSI,Lithium bis(fluorosulfonyl)imide,,alkali; sulfonyl,Li 1s,56.8,0.1,Li⁺,1; 8,10.1021/acsaem.1c02400; 10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
LiFSI,Lithium bis(fluorosulfonyl)imide,,alkali; sulfonyl,O 1s,533.3,0.2,FSI⁻,1; 8,10.1021/acsaem.1c02400; 10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
LiFSI,Lithium bis(fluorosulfonyl)imide,,alkali; sulfonyl,F 1s,688.0,0.2,FSI⁻,1; 8,10.1021/acsaem.1c02400; 10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
LiFSI,Lithium bis(fluorosulfonyl)imide,,alkali; sulfonyl,N 1s,400.0,0.1,FSI⁻,1; 8,10.1021/acsaem.1c02400; 10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
LiFSI,Lithium bis(fluorosulfonyl)imide,,alkali; sulfonyl,S 2p3/2,170.3,0.1,FSI⁻,1; 8,10.1021/acsaem.1c02400; 10.1021/ja403082s,C 1s (C-C/C-H) = 285.0 eV; C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,K 2p3/2,294.2,0.1,K⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,C 1s,293.5,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,O 1s,533.4,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,F 1s,689.2,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,N 1s,400.2,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
KTFSI,Potassium bis(trifluoromethanesulfonyl)imide,Potassium triflimide,alkali; sulfonyl; halogenated compound,S 2p3/2,169.8,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,Na 1s,1072.7,0.1,Na⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,C 1s,293.5,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,O 1s,533.5,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,F 1s,689.2,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,N 1s,400.2,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
NaTFSI,Sodium bis(trifluoromethanesulfonyl)imide,Sodium triflimide,alkali; sulfonyl; halogenated compound,S 2p3/2,169.9,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,Li 1s,57.0,0.1,Li⁺,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,C 1s,293.5,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,O 1s,533.5,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,F 1s,689.2,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,N 1s,400.3,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
LiTFSI,Lithium bis(trifluoromethanesulfonyl)imide,Lithium triflimide,alkali; sulfonyl; halogenated compound,S 2p3/2,170.0,0.1,TFSI⁻,1,10.1021/acsaem.1c02400,C 1s (C-C/C-H) = 285.0 eV
