element,transition,auger_group,line_type,energy_type,energy_eV,library,xray_source,sensitivity
Ag,MN1,MNN,Auger,KE,354.0,ALSCOF,Al Kα,1.22000002861023
Ag,MN1,MNN,Auger,KE,354.0,AUGQNT,Any,1.0
Ag,MN1,MNN,Auger,KE,358.0,10kvcrr4,Any,0.0640000030398369
Ag,MN2,MNN,Auger,KE,297.0,ALSCOF,Al Kα,0.352999985218048
Ag,MN2,MNN,Auger,KE,297.0,AUGQNT,Any,0.28999999165535
Ag,MN2,MNN,Auger,KE,353.0,10kvcrr4,Any,1.0
Ag,MN3,MNN,Auger,KE,261.0,ALSCOF,Al Kα,0.194999992847443
Ag,MN3,MNN,Auger,KE,261.0,AUGQNT,Any,0.159999996423721
Ag,MN3,MNN,Auger,KE,296.5,10kvcrr4,Any,0.493000000715256
Ag,MN4,MNN,Auger,KE,237.0,ALSCOF,Al Kα,0.0489999987185001
Ag,MN4,MNN,Auger,KE,237.0,AUGQNT,Any,0.0399999991059303
Ag,MN4,MNN,Auger,KE,260.5,10kvcrr4,Any,0.0799999982118607
Ag,MN5,MNN,Auger,KE,192.899993896484,10kvcrr4,Any,0.0430000014603138
Ag,MN5,MNN,Auger,KE,193.0,ALSCOF,Al Kα,0.0489999987185001
Ag,MN5,MNN,Auger,KE,193.0,AUGQNT,Any,0.0399999991059303
Ag,NO1,NOO,Auger,KE,49.0,ALSCOF,Al Kα,0.600000023841858
Ag,NO1,NOO,Auger,KE,49.0,AUGQNT,Any,0.0599999986588955
Ag,NO1,NOO,Auger,KE,80.0,10kvcrr4,Any,0.0130000002682209
Ag,NO2,NOO,Auger,KE,49.5,10kvcrr4,Any,0.0260000005364418
Ag,3d,,XPS,BE,371.0,ALSCOF,Al Kα,18.0400009155273
Ag,3d,,XPS,BE,371.0,ALWAGNER,Al Kα,19999980926514.0
Ag,3d,,XPS,BE,371.0,MGSCOF,Mg Kα,18.0400009155273
Ag,3d,,XPS,BE,371.0,MGWAGNER,Mg Kα,19999980926514.0
Ag,3d3/2,,XPS,BE,374.0,ALSCOF,Al Kα,7.38000011444092
Ag,3d3/2,,XPS,BE,374.0,ALWAGNER,Al Kα,2.09999990463257
Ag,3d3/2,,XPS,BE,374.0,MGSCOF,Mg Kα,7.3600001335144
Ag,3d3/2,,XPS,BE,374.0,MGWAGNER,Mg Kα,2.09999990463257
Ag,3d5/2,,XPS,BE,368.0,ALSCOF,Al Kα,10.6599998474121
Ag,3d5/2,,XPS,BE,368.0,ALWAGNER,Al Kα,3.09999990463257
Ag,3d5/2,,XPS,BE,368.0,MGSCOF,Mg Kα,10.6800003051758
Ag,3d5/2,,XPS,BE,368.0,MGWAGNER,Mg Kα,3.09999990463257
Ag,3p,,XPS,BE,588.5,ALSCOF,Al Kα,12.0900001525879
Ag,3p1/2,,XPS,BE,604.0,ALSCOF,Al Kα,4.03000020980835
Ag,3p1/2,,XPS,BE,604.0,MGSCOF,Mg Kα,3.0
Ag,3p3/2,,XPS,BE,573.0,ALSCOF,Al Kα,8.0600004196167
Ag,3p3/2,,XPS,BE,573.0,ALWAGNER,Al Kα,1.67200005054474
Ag,3p3/2,,XPS,BE,573.0,MGSCOF,Mg Kα,6.6399998664856
Ag,3p3/2,,XPS,BE,573.0,MGWAGNER,Mg Kα,1.36800003051758
Ag,3s,,XPS,BE,718.0,ALSCOF,Al Kα,2.9300000667572
Ag,3s,,XPS,BE,718.0,MGSCOF,Mg Kα,2.32999992370605
Ag,4p,,XPS,BE,58.0,ALSCOF,Al Kα,2.05999994277954
Ag,4p,,XPS,BE,58.0,MGSCOF,Mg Kα,1.73599994182587
Ag,4s,,XPS,BE,97.0,ALSCOF,Al Kα,0.643999993801117
Ag,4s,,XPS,BE,97.0,MGSCOF,Mg Kα,0.531000018119812
Al,KL1,KLL,Auger,KE,1393.0,AUGQNT,Any,0.239999994635582
Al,KL1,KLL,Auger,KE,1394.1386,10kvcrr4,Any,0.0
Al,KL2,KLL,Auger,KE,1378.0,AUGQNT,Any,0.159999996423721
Al,KL2,KLL,Auger,KE,1379.1369,10kvcrr4,Any,0.0
Al,KL3,KLL,Auger,KE,1361.0,AUGQNT,Any,0.0199999995529652
Al,KL3,KLL,Auger,KE,1362.0,10kvcrr4,Any,0.0480000004172325
Al,KL4,KLL,Auger,KE,1342.0,AUGQNT,Any,0.109999999403954
Al,KL4,KLL,Auger,KE,1343.5,10kvcrr4,Any,0.0659999996423721
Al,KL5,KLL,Auger,KE,1327.0,AUGQNT,Any,0.0500000007450581
Al,KL5,KLL,Auger,KE,1327.1319,10kvcrr4,Any,0.0
Al,LM1,LMM,Auger,KE,68.0,10kvcrr4,Any,0.444999992847443
Al,LM1,LMM,Auger,KE,83.0,AUGQNT,Any,0.0299999993294477
Al,LM2,LMM,Auger,KE,54.0,10kvcrr4,Any,0.0149999996647239
Al,LM2,LMM,Auger,KE,68.0,AUGQNT,Any,0.959999978542328
Al,LM3,LMM,Auger,KE,54.0,AUGQNT,Any,0.370000004768372
Al,2p,,XPS,BE,74.0,ALSCOF,Al Kα,0.537000000476837
Al,2p,,XPS,BE,74.0,ALWAGNER,Al Kα,0.185000002384186
Al,2p,,XPS,BE,74.0,MGSCOF,Mg Kα,0.574000000953674
Al,2p,,XPS,BE,74.0,MGWAGNER,Mg Kα,0.185000002384186
Al,2s,,XPS,BE,119.0,ALSCOF,Al Kα,0.753000020980835
Al,2s,,XPS,BE,119.0,ALWAGNER,Al Kα,0.252999991178513
Al,2s,,XPS,BE,119.0,MGSCOF,Mg Kα,0.680999994277954
Al,2s,,XPS,BE,119.0,MGWAGNER,Mg Kα,0.207000002264977
Am,4d3/2,,XPS,BE,883.0,ALSCOF,Al Kα,11.7399997711182
Am,4d3/2,,XPS,BE,883.0,MGSCOF,Mg Kα,8.43000030517578
Am,4d5/2,,XPS,BE,832.0,ALSCOF,Al Kα,18.1399993896484
Am,4d5/2,,XPS,BE,832.0,MGSCOF,Mg Kα,13.4300003051758
Am,4f5/2,,XPS,BE,463.0,ALSCOF,Al Kα,25.8700008392334
Am,4f5/2,,XPS,BE,463.0,MGSCOF,Mg Kα,24.4400005340576
Am,4f7/2,,XPS,BE,449.0,ALSCOF,Al Kα,32.9500007629395
Am,4f7/2,,XPS,BE,449.0,MGSCOF,Mg Kα,31.3500003814697
Am,5d3/2,,XPS,BE,119.0,ALSCOF,Al Kα,2.66000008583069
Am,5d3/2,,XPS,BE,119.0,MGSCOF,Mg Kα,2.0699999332428
Am,5d5/2,,XPS,BE,109.0,ALSCOF,Al Kα,3.92000007629395
Am,5d5/2,,XPS,BE,109.0,MGSCOF,Mg Kα,3.09999990463257
Am,5p3/2,,XPS,BE,216.0,ALSCOF,Al Kα,2.47000002861023
Am,5p3/2,,XPS,BE,216.0,MGSCOF,Mg Kα,1.95000004768372
Am,5s,,XPS,BE,351.0,ALSCOF,Al Kα,0.768999993801117
Am,5s,,XPS,BE,351.0,MGSCOF,Mg Kα,0.596000015735626
Am,6p1/2,,XPS,BE,31.0,ALSCOF,Al Kα,0.133000001311302
Am,6p1/2,,XPS,BE,31.0,MGSCOF,Mg Kα,0.100000001490116
Am,6p3/2,,XPS,BE,18.0,ALSCOF,Al Kα,0.391000002622604
Am,6p3/2,,XPS,BE,18.0,MGSCOF,Mg Kα,0.312999993562698
Ar,LM1,LMM,Auger,KE,212.0,ALSCOF,Al Kα,0.400000005960464
Ar,LM1,LMM,Auger,KE,212.0,AUGQNT,Any,1.0
Ar,LM2,LMM,Auger,KE,201.0,ALSCOF,Al Kα,0.109999999403954
Ar,LM2,LMM,Auger,KE,201.0,AUGQNT,Any,0.270000010728836
